Mesnil / oger Avenue Eugene Guillaume  51190 Mesnil / oger;,48.798233,2.516879,"51190 Avenue du Mesnil, 94210 Saint-Maur-des-Fossés, France",51190,,Avenue du Mesnil,94210,Val-de-Marne,Saint-Maur-des-Fossés,,Saint-Maur-des-Fossés,Ile-of-France,IDF,0.1111111111111111,0.09999999999999999,,France,fr,0.45,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Stade Adrien Alary, gymnase N6 82100 CASTELSARRASIN;",44.033223,1.117148,"Stade Alary, 82100 Route de Toulouse, 82100 Castelsarrasin, France",82100,Stade Alary,Route de Toulouse,82100,Tarn-et-Garonne,Castelsarrasin,,Castelsarrasin,Occitania,OCC,1,,,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
26 rue des 2 communes 86000 POITIERS;,46.578486,0.345003,"86000 Poitiers (Poitiers), France",,,,86000,Vienne,Poitiers,,Poitiers,New Aquitaine,,1,,,France,fr,0.25,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
Salles Omnisport du Moulin Blanc 83990 Saint-Tropez;,46.173629,3.201166,"Rue du Moulin de Salles, 03800 Saint-Germain-De-Salles, France",,,Rue du Moulin de Salles,03800,Allier,Saint-Germain-De-Salles,,Saint-Germain-De-Salles,Auvergne-Rhone-Alpes,ARA,0.15384615384615385,,,France,fr,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Rue principale 67370 Willgothheim;,48.6554368,7.547642,"Rue Principale, 67370 Neugartheim-Ittlenheim, France",,,Rue Principale,67370,Bas-Rhin,Ittlenheim,,Neugartheim-Ittlenheim,Grand Est,GES,1,1,,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
salle polyvalente  route du sTAde 17810 SAINT GEORGES DES COTEAUX;,45.7671582,-0.7109367,"Route du Stade, 17810 Saint-Georges-des-Coteaux, France",,Route du Stade,Route du Stade,17810,Charente-Maritime,Le Noyer à Moreau,,Saint-Georges-des-Coteaux,Nouvelle-Aquitaine,NAQ,1,1,,France,fr,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
105 rue des fossées 45400 Fleury les aubrais;,47.929474,1.926186,"105 Rue des Fossés, 45400 Fleury-les-Aubrais, France",105,,Rue des Fossés,45400,Loiret,Fleury-Les-Aubrais,,Fleury-les-Aubrais,Centre,,1,0.7714285714285714,0.7714285714285714,France,fr,0.7714285714285714,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
108 rue Claude Antoine Peccot 44700 ORVAULT;,47.2513057,-1.610807,"108 Avenue Claude Antoine Peccot, 44700 Orvault, France",108,,Avenue Claude Antoine Peccot,44700,Loire-Atlantique,La Cholière,La Salentine,Orvault,Pays de la Loire,PDL,1,1,1,France,fr,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Complexe Multisport du Salat 13310 Saint-Martin-de-Crau;,,,,,,,,,,,,,,,,,,,,,,
Impasse des Colibris 33380 Mios;,44.608162,-0.932254,"Mios (Mios), New Aquitaine, France",,,,,Gironde,Mios,,Mios,New Aquitaine,,1,,,France,fr,0.5,Who's On First,CC0,https://www.whosonfirst.org/docs/licenses/
